Index,ABox,Run,Time,Judgement
92,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.779,C
93,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0844,C
94,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.049,C
95,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7404,C
96,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7132,C
97,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8686,C
98,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.896,C
99,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8864,C
100,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7137,C
101,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0659,C
102,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8893,C
103,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8618,C
104,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.081,C
105,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7529,C
106,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.862,C
107,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0418,C
108,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.739,C
109,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0214,C
110,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.1111,C
111,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0841,C
112,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8663,C
113,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7945,C
114,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8015,C
115,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0262,C
116,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0417,C
