Index,ABox,Run,Time,Judgement
0,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1195,I
87,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1205,I
88,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1164,I
89,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9631,I
90,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.115,I
91,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7632,I
92,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6041,I
93,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6049,I
94,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6072,I
95,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9619,I
96,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7553,I
97,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6114,I
98,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1162,I
99,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9675,I
100,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9619,I
101,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7629,I
102,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7556,I
103,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1147,I
104,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1201,I
105,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6132,I
106,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6047,I
107,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9556,I
108,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7609,I
109,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7637,I
110,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7572,I
111,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7658,I
112,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6067,I
113,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6038,I
114,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9618,I
115,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7528,I
116,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6065,I
117,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9608,I
118,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1147,I
119,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9605,I
120,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1151,I
121,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6053,I
122,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1169,I
