,ABox,Run,Time,Judgement
101,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6043,I
102,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6012,I
103,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.102,I
104,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7593,I
105,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1891,I
106,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1902,I
107,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2597,I
108,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4098,I
109,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4059,I
110,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6916,I
111,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.691,I
112,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6013,I
113,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.0356,I
114,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5357,I
115,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.0991,I
116,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1053,I
117,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2542,I
118,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1726,I
119,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6927,I
120,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6892,I
121,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1069,I
122,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.259,I
123,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2542,I
124,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7544,I
125,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4096,I
126,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1692,I
127,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3451,I
128,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5315,I
129,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2631,I
130,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.0952,I
131,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7573,I
132,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1057,I
